1,I love this sandwich,pos
2,This is an amazing place,pos
3,I feel very good about these beers,pos
4,This is my best work,pos
5,What an awesome view,pos
6,I do not like this restaurant,neg
7,I am tired of this stuff,neg
8,I can’t deal with this,neg
9,He is my sworn enemy,neg
10,My boss is horrible,neg
11,This is an awesome place,pos
12,I do not like the taste of this juice,neg
13,I love to dance,pos
14,I am sick and tired of this place,neg
15,What a great holiday,pos
16,That is a bad locality to stay,neg
17,We will have good fun tomorrow,pos
18,I went to my enemy’s house today,neg
